url,city,state,street-address,zipcode,sqft,price,price/sqft
/realestateandhomes-detail/69-Church-St-1_Boston_MA_02116_M95403-48891,Boston,MA,69 Church St Unit 1,2116,961sqft,"$1,350,000 ","$1,405 "
/realestateandhomes-detail/85-E-India-Row-Apt-9G_Boston_MA_02110_M33303-67202,Boston,MA,85 E India Row Apt 9G,2110,"1,212sqft","$1,199,995 ",$990 
/realestateandhomes-detail/42-Rutland-Sq-Apt-3_Boston_MA_02118_M37553-32539,Boston,MA,42 Rutland Sq Apt 3,2118,"1,481sqft","$2,000,000 ","$1,350 "
/realestateandhomes-detail/49-49B-Charles-St_Boston_MA_02114_M95844-88290,Boston,MA,49-49B Charles St,2114,"3,200sqft","$3,199,999 ","$1,000 "
/realestateandhomes-detail/151-Tremont-St-Apt-8F_Boston_MA_02111_M43372-22809,Boston,MA,151 Tremont St Apt 8F,2111,"1,050sqft","$1,350,000 ","$1,286 "
/realestateandhomes-detail/1-Nassau-St-Unit-2204_Boston_MA_02111_M39138-57031,Boston,MA,1 Nassau St Unit 2204,2111,"1,749sqft","$1,649,000 ",$943 
/realestateandhomes-detail/110-Sudbury-St-Unit-4205_Boston_MA_02114_M98941-72955,Boston,MA,110 Sudbury St Unit 4205,2114,"1,848sqft","$3,750,000 ","$2,029 "
/realestateandhomes-detail/340-W-2nd-St-Apt-28_Boston_MA_02127_M97135-32968,Boston,MA,340 W 2nd St Apt 28,2127,"1,670sqft","$1,525,000 ",$913 
/realestateandhomes-detail/15-17-Cushman-Rd_Boston_MA_02135_M90951-85264,Boston,MA,15-17 Cushman Rd,2135,"2,600sqft","$989,000 ",$380 
/realestateandhomes-detail/110-Sudbury-St-Unit-3904_Boston_MA_02114_M93655-72247,Boston,MA,110 Sudbury St Unit 3904,2114,"2,275sqft","$4,575,000 ","$2,011 "
/realestateandhomes-detail/110-Sudbury-St-Unit-3702_Boston_MA_02114_M98368-10038,Boston,MA,110 Sudbury St Unit 3702,2114,"2,315sqft","$5,150,000 ","$2,225 "
/realestateandhomes-detail/110-Sudbury-St-Unit-3801_Boston_MA_02114_M93362-68323,Boston,MA,110 Sudbury St Unit 3801,2114,"2,766sqft","$5,700,000 ","$2,061 "
/realestateandhomes-detail/150-Seaport-Blvd-7B_Boston_MA_02210_M93653-74467,Boston,MA,150 Seaport Blvd Unit 7B,2210,"1,494sqft","$3,375,000 ","$2,259 "
/realestateandhomes-detail/317-Summit-Ave-Apt-4_Boston_MA_02135_M38104-76232,Boston,MA,317 Summit Ave Apt 4,2135,666sqft,"$450,000 ",$676 
/realestateandhomes-detail/190-W-7th-St-Apt-2_Boston_MA_02127_M36647-85473,Boston,MA,190 W 7th St Apt 2,2127,664sqft,"$529,900 ",$798 
/realestateandhomes-detail/10-Alaric-Ter_Boston_MA_02132_M98540-17610,Boston,MA,10 Alaric Ter,2132,"3,170sqft","$1,599,000 ",$504 
/realestateandhomes-detail/13-Bowdoin-St-1AB_Boston_MA_02114_M95865-13284,Boston,MA,13 Bowdoin St Unit 1A /B,2114,944sqft,"$1,199,000 ","$1,270 "
/realestateandhomes-detail/10-Humes-Rd_Boston_MA_02122_M37763-93822,Boston,MA,10 Humes Rd,2122,"1,602sqft","$689,000 ",$430 
/realestateandhomes-detail/567-Columbus-Ave-2_Boston_MA_02118_M36754-72575,Boston,MA,567 Columbus Ave Unit 2,2118,"1,015sqft","$1,085,000 ","$1,069 "
/realestateandhomes-detail/187-Florence-St-Apt-1L_Boston_MA_02131_M35898-04990,Boston,MA,187 Florence St Apt 1L,2131,805sqft,"$389,000 ",$483 
/realestateandhomes-detail/163-W-7th-St-1_South-Boston_MA_02127_M35221-03624,Boston,MA,163 W 7th St Unit 1,2127,"1,133sqft","$725,000 ",$640 
/realestateandhomes-detail/124-Pembroke-St-1_Boston_MA_02118_M46140-08151,Boston,MA,124 Pembroke St Unit 1,2118,"1,844sqft","$1,795,000 ",$973 
/realestateandhomes-detail/591-E-5th-St_Boston_MA_02127_M43428-58189,Boston,MA,591 E 5th St,2127,"2,070sqft","$1,275,000 ",$616 
